country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
United Kingdom,1912,4.828,450.921,1.185,96.661,4.965,3.134,-3,55
United States,1912,7.414,1224.395,14.409,27.495,89.321,5.896,-100,40
Uzbekistan,1912,0.215,2.073,27.482,0.055,1.408,27.588,63,42
Vietnam,1912,1.776,1.14,28.446,27.582,35.263,27.588,108,16
Zimbabwe,1912,0.81,0.52,0.572,1.249,3.063,27.588,30,-20
Argentina,1913,0.34,10.087,6.151,0.017,0.059,1.379,-58.382,-34.604
Armenia,1913,2.087,0.158,1.473,34.483,0.462,1.379,45.038,40.069
Australia,1913,0.351,22.391,0.32,1.521,1.181,1.379,151.21,-33.865
Austria,1913,1.646,60.984,14.626,46.772,47.518,3.469,14.55,47.516
Azerbaijan,1913,0.956,0.094,0.145,6.367,1.681,1.242,48.5,41.4
Belarus,1913,0.052,1.128,0.124,0.017,2.754,3.272,27.953,53.71
Belgium,1913,1.843,66.82,0.015,27.185,1.194,1.27,4.47,50.504
Bosnia and Herzegovina,1913,0.181,0.627,0.07,1.127,0.138,1.622,18.294,44.409
Brazil,1913,0.024,6.035,0.011,0.004,1.802,1.462,-46.625,-23.534
Bulgaria,1913,1.744,0.788,0.698,4.866,1.705,1.209,25.486,42.734
Canada,1913,0.941,76.186,1.201,1.085,2.012,2.698,-123.116,49.246
Chile,1913,0.066,3.356,2.59,34.846,0.692,1.672,-70.674,-33.447
China,1913,0.508,10.758,0.16,8.671,24.667,1.42,104.195,35.862
Croatia,1913,0.45,0.681,0.058,0.098,1.705,0.377,15.967,45.815
Czechia,1913,0.639,46.932,0.397,0.001,0.43,0.445,14.419,50.074
Denmark,1913,0.227,9.526,0.064,0.009,2.96,1.044,12.568,55.676
Egypt,1913,1.848,1.82,1.212,1.121,0.04,0.281,30.802,26.821
Estonia,1913,0.064,1.021,0.891,0.397,0.096,0.172,24.754,59.437
Finland,1913,0.11,1.554,0.088,0.241,0.11,0.916,24.946,60.192
France,1913,1.324,170.841,1.109,2.955,0.271,1.328,2.349,48.865
Georgia,1913,0.019,0.424,0.669,0.001,0.521,7.56,44.783,41.717
Germany,1913,2.197,531.54,0.352,2.753,3.543,9.612,13.405,52.52
Greece,1913,0.864,1.337,0.955,2.19,5.325,4.702,21.824,39.074
Hungary,1913,0.476,13.018,0.297,3.582,0.007,1.272,19.04,47.498
Indonesia,1913,76.655,1.506,1.97,46.884,4.393,0.155,106.774,-6.121
Iran,1913,23.559,194.763,11.139,71.924,0.854,0.281,53.688,32.428
Ireland,1913,3.217,0.224,33.351,27.437,147.001,0.505,-8.244,53.413
Italy,1913,1.904,29.473,2.326,0.011,0.48,3.072,12.496,41.903
Japan,1913,1.089,53.476,0.952,0.073,0.839,7.658,138.253,36.205
Kazakhstan,1913,0.885,7.09,0.788,3.082,0.718,5.554,66.924,48.02
Kyrgyzstan,1913,0.726,0.585,1.277,17.204,0.134,1.894,74.766,41.204
Latvia,1913,0.404,0.294,0.139,0.058,0.278,0.944,25,57
Lithuania,1913,0.439,0.402,4.39,0.018,0.665,0.393,23.904,54.899
Malaysia,1913,0.093,0.062,0.169,0.148,0.062,0.04,112.5,2.5
Mexico,1913,0.113,1.136,3.271,0.302,10.607,0.171,-102,23
Moldova,1913,4.924,0.632,2.487,23.226,0.298,0.318,28.37,47.412
Montenegro,1913,0.176,0.062,0.058,1.308,1.696,0.504,19.3,42.5
Netherlands,1913,0.496,26.894,0.106,1.31,0.656,1.103,5.55,52.317
New Zealand,1913,0.069,4.214,0.457,30.124,1.607,0.874,173,-42
North Korea,1913,2.314,0.323,11.905,27.335,0.086,0.513,127,40
North Macedonia,1913,1.358,0.458,4.276,11.358,1.292,0.442,21.7,41.6
Norway,1913,0.243,6.672,0.094,0.63,0.245,0.37,8,61
Oceania,1913,0.609,26.604,1.761,10.464,0.184,0.73,133.775,-25.274
Peru,1913,0.193,0.725,1.63,0.782,0.846,5.114,-76,-10
Philippines,1913,2.725,0.007,0.311,14.699,27.666,5.256,122,13
Poland,1913,5.211,112.789,2.677,3.087,3.419,5.404,20,52
Portugal,1913,3.977,3.759,4.12,29.789,0.099,3.909,-9.183,38.7
Romania,1913,1.253,1.323,1.35,28.918,5.668,1.338,25,46
Russia,1913,2.094,59.261,3.071,7.739,16.079,6.924,90,60
Serbia,1913,0.986,1.82,0.089,0.022,2.639,8.242,21,44
Slovakia,1913,0.201,14.985,0.031,2.698,0.053,2.396,19.5,48.667
Slovenia,1913,0.732,0.519,0.019,5.107,3.848,0.842,14.817,46.117
South Africa,1913,0.128,18.983,0.101,2.858,1.85,0.906,25,-30
South Korea,1913,3.645,0.018,0.078,8.403,43.156,1.513,128,36
Spain,1913,4.067,17.254,0.098,0.044,0.121,2.516,-4,40
Sweden,1913,0.194,15.206,0.055,0.032,0.553,1.198,16,63
Switzerland,1913,0.982,8.984,0.702,1.462,0.267,0.506,8.333,46.833
Taiwan,1913,0.5,0.854,1.729,3.365,10.842,0.481,121,24
Tajikistan,1913,2.395,0.222,0.619,14.899,0.123,0.839,71,39
Trinidad and Tobago,1913,0.295,11.068,1.564,0.113,0.224,2.106,-61.1,10.6
Turkey,1913,1.873,2.037,0.278,10.269,10.383,2.749,35,39
Turkmenistan,1913,15.751,0.311,0.201,31.895,1.097,6.855,60,40
Ukraine,1913,0.265,19.955,2.856,3.281,2.761,7.958,32,49
United Kingdom,1913,4.662,492.471,1.168,93.439,5.851,3.139,-3,55
United States,1913,8.271,1304.578,15.165,28.458,107.077,6.13,-100,40
Uzbekistan,1913,0.209,2.383,27.043,0.049,1.399,27.588,63,42
Venezuela,1913,0.911,0.015,20.021,22.121,0.044,27.588,-65,7
Vietnam,1913,1.67,1.352,28.074,27.182,34.345,27.588,108,16
Zimbabwe,1913,0.787,0.583,0.572,1.249,2.99,27.588,30,-20
Argentina,1914,0.325,8.548,6.079,0.004,0.121,1.379,-58.382,-34.604
Armenia,1914,1.949,0.124,1.45,30.173,0.435,1.379,45.038,40.069
Australia,1914,0.353,24.479,0.322,1.49,1.421,1.379,151.21,-33.865
Austria,1914,1.554,49.655,14.438,44.311,40.765,3.438,14.55,47.516
Azerbaijan,1914,0.893,0.071,0.146,5.571,1.531,1.247,48.5,41.4
Belarus,1914,0.05,0.891,0.13,0.015,2.613,3.277,27.953,53.71
Belgium,1914,1.821,40.575,0.016,26.451,1.132,1.288,4.47,50.504
Bosnia and Herzegovina,1914,0.17,0.597,0.069,1.057,0.124,1.621,18.294,44.409
Brazil,1914,0.025,4.107,0.011,0.004,1.721,1.461,-46.625,-23.534
Bulgaria,1914,1.631,1.183,0.69,4.775,1.673,1.208,25.486,42.734
Canada,1914,0.937,64.834,1.203,1.147,2.4,2.703,-123.116,49.246
Chile,1914,0.066,2.843,2.526,33.878,0.674,1.67,-70.674,-33.447
China,1914,0.477,15.107,0.171,8.438,22.771,1.418,104.195,35.862
Croatia,1914,0.446,0.649,0.057,0.092,1.555,0.375,15.967,45.815
Czechia,1914,0.625,42.781,0.398,0.001,0.005,0.475,14.419,50.074
Denmark,1914,0.238,9.765,0.064,0.009,3.014,1.041,12.568,55.676
Egypt,1914,1.728,1.784,1.215,1.101,0.308,0.281,30.802,26.821
Estonia,1914,0.063,0.906,0.878,0.347,0.102,0.171,24.754,59.437
Finland,1914,0.112,0.608,0.088,0.251,0.081,0.918,24.946,60.192
France,1914,1.375,118.351,1.181,2.853,0.249,1.375,2.349,48.865
Georgia,1914,0.018,0.345,0.659,0.001,0.508,7.577,44.783,41.717
Germany,1914,2.305,497.59,0.365,2.623,0.337,9.629,13.405,52.52
Greece,1914,0.812,0.011,0.942,2.161,4.9,4.654,21.824,39.074
Hungary,1914,0.459,11.582,0.298,3.393,0.011,1.273,19.04,47.498
Indonesia,1914,71.869,1.641,1.998,41.041,4.375,0.156,106.774,-6.121
Iran,1914,22.688,187.28,11.151,70.226,1.172,0.283,53.688,32.428
Ireland,1914,3.08,0.249,32.906,27.001,142.829,0.506,-8.244,53.413
Italy,1914,1.879,26.714,2.348,0.011,0.513,3.096,12.496,41.903
Japan,1914,1.142,56.876,0.936,0.059,1.139,7.712,138.253,36.205
Kazakhstan,1914,0.828,6.282,0.793,2.697,0.764,5.519,66.924,48.02
Kyrgyzstan,1914,0.679,0.509,1.259,15.054,0.14,1.889,74.766,41.204
Latvia,1914,0.378,0.242,0.138,0.051,0.275,0.939,25,57
Lithuania,1914,0.412,0.322,4.32,0.016,0.641,0.394,23.904,54.899
Malaysia,1914,0.091,0.004,0.17,0.147,0.143,0.04,112.5,2.5
Mexico,1914,0.113,1.477,3.255,0.299,8.665,0.172,-102,23
Moldova,1914,4.597,0.536,2.447,20.322,0.303,0.319,28.37,47.412
Montenegro,1914,0.176,0.059,0.058,1.301,1.507,0.505,19.3,42.5
Netherlands,1914,0.472,24.721,0.105,1.273,1.103,1.104,5.55,52.317
New Zealand,1914,0.072,5.082,0.449,29.599,1.518,0.869,173,-42
North Korea,1914,2.208,0.462,11.841,27.202,0.095,0.513,127,40
North Macedonia,1914,1.27,0.436,4.212,11.224,1.152,0.441,21.7,41.6
Norway,1914,0.235,7.431,0.096,0.64,0.278,0.369,8,61
Oceania,1914,0.601,29.561,1.73,10.25,0.174,0.756,133.775,-25.274
Peru,1914,0.182,0.755,1.63,0.781,0.788,5.115,-76,-10
Philippines,1914,2.545,0.018,0.331,14.511,26.948,5.258,122,13
Poland,1914,4.9,94.315,2.697,2.726,2.689,5.405,20,52
Portugal,1914,3.714,3.29,4.068,29.412,0.084,3.865,-9.183,38.7
Romania,1914,1.181,0.231,1.347,24.141,5.554,1.343,25,46
Russia,1914,1.993,51.283,3.251,6.775,16.714,7.324,90,60
Serbia,1914,0.93,1.734,0.089,0.021,2.35,8.228,21,44
Slovakia,1914,0.203,13.659,0.031,2.53,0.003,2.382,19.5,48.667
Slovenia,1914,0.688,0.495,0.019,4.788,3.427,0.834,14.817,46.117
South Africa,1914,0.131,18.401,0.101,2.866,1.934,0.911,25,-30
South Korea,1914,3.472,0.026,0.078,8.29,42.003,1.518,128,36
Spain,1914,3.847,17.038,0.099,0.029,0.234,2.522,-4,40
Sweden,1914,0.139,14.403,0.059,0.034,0.443,1.19,16,63
Switzerland,1914,0.938,8.255,0.693,1.428,0.172,0.503,8.333,46.833
Taiwan,1914,0.486,0.92,1.719,3.088,10.391,0.484,121,24
Tajikistan,1914,2.236,0.187,0.609,13.036,0.125,0.842,71,39
Trinidad and Tobago,1914,0.288,10.77,1.57,0.114,0.289,2.109,-61.1,10.6
Turkey,1914,1.751,1.663,0.278,10.111,10.077,2.752,35,39
Turkmenistan,1914,14.703,0.243,0.203,27.908,1.028,6.859,60,40
Ukraine,1914,0.258,17.58,2.872,2.871,2.922,7.963,32,49
United Kingdom,1914,4.496,475.433,1.151,90.217,7.749,3.143,-3,55
United States,1914,7.923,1172.136,15.92,28.946,114.617,6.365,-100,40
Uzbekistan,1914,0.202,2.002,26.604,0.044,1.411,27.588,63,42
Venezuela,1914,0.87,0.023,20.232,21.013,0.007,27.588,-65,7
Vietnam,1914,1.564,1.645,27.703,26.783,33.426,27.588,108,16
Zimbabwe,1914,0.763,0.843,0.572,1.249,2.917,27.588,30,-20
Argentina,1915,0.31,6.701,6.007,0.011,0.227,1.379,-58.382,-34.604
Armenia,1915,1.81,0.094,1.426,25.862,0.419,1.379,45.038,40.069
Australia,1915,0.354,21.793,0.323,1.459,1.66,1.379,151.21,-33.865
Austria,1915,1.461,35.343,14.249,41.851,34.011,3.408,14.55,47.516
Azerbaijan,1915,0.831,0.052,0.148,4.776,1.418,1.251,48.5,41.4
Belarus,1915,0.049,0.682,0.136,0.013,2.533,3.281,27.953,53.71
Belgium,1915,1.798,34.42,0.017,25.716,1.07,1.306,4.47,50.504
Bosnia and Herzegovina,1915,0.158,0.568,0.069,0.986,0.11,1.62,18.294,44.409
Brazil,1915,0.026,3.144,0.011,0.004,1.639,1.46,-46.625,-23.534
Bulgaria,1915,1.519,0.762,0.683,4.683,1.642,1.207,25.486,42.734
Canada,1915,0.932,57.679,1.205,1.066,2.37,2.708,-123.116,49.246
Chile,1915,0.065,3.067,2.463,32.91,0.655,1.667,-70.674,-33.447
China,1915,0.445,16.089,0.181,8.204,20.874,1.416,104.195,35.862
Croatia,1915,0.441,0.617,0.057,0.087,1.405,0.373,15.967,45.815
Czechia,1915,0.61,42.684,0.398,0.001,0.007,0.505,14.419,50.074
Denmark,1915,0.248,10.453,0.064,0.01,3.068,1.038,12.568,55.676
Egypt,1915,1.608,1.749,1.218,1.081,0.092,0.28,30.802,26.821
Estonia,1915,0.062,0.81,0.866,0.297,0.115,0.171,24.754,59.437
Finland,1915,0.114,0.018,0.089,0.261,0.088,0.921,24.946,60.192
France,1915,1.427,103.233,1.254,2.752,0.227,1.422,2.349,48.865
Georgia,1915,0.018,0.273,0.65,0.001,0.51,7.594,44.783,41.717
Germany,1915,2.412,462.602,0.378,2.493,0.304,9.646,13.405,52.52
Greece,1915,0.759,0.022,0.929,2.133,4.475,4.607,21.824,39.074
Hungary,1915,0.441,11.743,0.298,3.205,0.022,1.274,19.04,47.498
Indonesia,1915,67.082,1.652,2.026,35.199,4.378,0.157,106.774,-6.121
Iran,1915,21.817,179.796,11.163,68.527,1.403,0.284,53.688,32.428
Ireland,1915,2.942,0.227,32.461,26.566,138.657,0.507,-8.244,53.413
Italy,1915,1.853,23.23,2.371,0.011,0.539,3.119,12.496,41.903
Japan,1915,1.196,51.578,0.92,0.044,1.264,7.765,138.253,36.205
Kazakhstan,1915,0.772,5.605,0.797,2.312,0.863,5.484,66.924,48.02
Kyrgyzstan,1915,0.631,0.442,1.24,12.903,0.154,1.883,74.766,41.204
Latvia,1915,0.353,0.195,0.137,0.044,0.28,0.934,25,57
Lithuania,1915,0.384,0.252,4.25,0.014,0.633,0.396,23.904,54.899
Malaysia,1915,0.089,0.033,0.171,0.146,0.172,0.039,112.5,2.5
Mexico,1915,0.112,0.854,3.239,0.297,13.462,0.173,-102,23
Moldova,1915,4.269,0.449,2.406,17.419,0.321,0.32,28.37,47.412
Montenegro,1915,0.175,0.056,0.057,1.294,1.319,0.506,19.3,42.5
Netherlands,1915,0.448,23.996,0.105,1.236,0.539,1.105,5.55,52.317
New Zealand,1915,0.074,4.932,0.442,29.075,1.429,0.863,173,-42
Nigeria,1915,0.021,0.018,1.132,2.099,1.781,0.61,10,8
North Korea,1915,2.103,0.576,11.778,27.069,0.103,0.512,127,40
North Macedonia,1915,1.181,0.415,4.149,11.091,1.011,0.44,21.7,41.6
Norway,1915,0.227,8.255,0.097,0.649,0.194,0.369,8,61
Oceania,1915,0.592,26.725,1.7,10.037,0.164,0.782,133.775,-25.274
Peru,1915,0.171,0.773,1.63,0.78,1.114,5.116,-76,-10
Philippines,1915,2.366,0.055,0.351,14.322,26.231,5.259,122,13
Poland,1915,4.589,92.417,2.717,2.366,2.327,5.406,20,52
Portugal,1915,3.451,3.001,4.016,29.035,0.084,3.821,-9.183,38.7
Romania,1915,1.108,0.275,1.345,19.364,4.87,1.347,25,46
Russia,1915,1.892,44.187,3.43,5.811,18.224,7.725,90,60
Serbia,1915,0.873,1.648,0.088,0.019,2.061,8.214,21,44
Slovakia,1915,0.204,13.627,0.031,2.361,0.004,2.368,19.5,48.667
Slovenia,1915,0.644,0.47,0.019,4.469,3.006,0.827,14.817,46.117
South Africa,1915,0.134,18.511,0.101,2.873,2.017,0.916,25,-30
South Korea,1915,3.299,0.032,0.078,8.177,40.85,1.524,128,36
Spain,1915,3.627,14.993,0.099,0.037,0.282,2.527,-4,40
Sweden,1915,0.153,14.491,0.062,0.036,0.458,1.182,16,63
Switzerland,1915,0.893,8.786,0.685,1.394,0.139,0.499,8.333,46.833
Taiwan,1915,0.472,1.015,1.71,2.812,9.939,0.487,121,24
Tajikistan,1915,2.076,0.155,0.6,11.174,0.131,0.845,71,39
Trinidad and Tobago,1915,0.281,10.472,1.576,0.115,0.333,2.112,-61.1,10.6
Turkey,1915,1.628,1.037,0.277,9.954,9.772,2.755,35,39
Turkmenistan,1915,13.655,0.183,0.204,23.922,0.983,6.864,60,40
Ukraine,1915,0.25,15.547,2.887,2.462,3.27,7.967,32,49
United Kingdom,1915,4.33,482.428,1.134,86.995,7.053,3.147,-3,55
United States,1915,7.715,1213.597,16.676,30.741,120.93,6.6,-100,40
Uzbekistan,1915,0.196,1.655,26.166,0.038,1.477,27.588,63,42
Venezuela,1915,0.829,0.037,20.443,19.904,0.015,27.588,-65,7
Vietnam,1915,1.458,1.707,27.332,26.383,32.508,27.588,108,16
Zimbabwe,1915,0.74,0.986,0.572,1.249,2.843,27.588,30,-20
Argentina,1916,0.295,4.587,5.936,0.015,0.385,1.379,-58.382,-34.604
Armenia,1916,1.671,0.1,1.402,21.552,0.447,1.379,45.038,40.069
Australia,1916,0.356,19.273,0.325,1.428,1.899,1.379,151.21,-33.865
Austria,1916,1.369,9.087,14.06,39.391,27.258,3.377,14.55,47.516
Azerbaijan,1916,0.769,0.055,0.149,3.98,1.512,1.256,48.5,41.4
Belarus,1916,0.047,0.725,0.142,0.011,2.703,3.286,27.953,53.71
Belgium,1916,1.776,45.793,0.018,24.982,1.009,1.324,4.47,50.504
Bosnia and Herzegovina,1916,0.147,0.538,0.068,0.916,0.096,1.619,18.294,44.409
Brazil,1916,0.028,2.88,0.011,0.004,1.557,1.46,-46.625,-23.534
Bulgaria,1916,1.406,0.923,0.676,4.592,1.61,1.206,25.486,42.734
Canada,1916,0.927,72.034,1.207,1.348,3.074,2.713,-123.116,49.246
Chile,1916,0.064,3.708,2.399,31.942,0.636,1.665,-70.674,-33.447
China,1916,0.414,17.965,0.192,7.97,18.977,1.414,104.195,35.862
Croatia,1916,0.437,0.585,0.056,0.081,1.255,0.371,15.967,45.815
Czechia,1916,0.596,45.428,0.399,0.001,0.01,0.536,14.419,50.074
Denmark,1916,0.259,10.215,0.063,0.01,3.122,1.035,12.568,55.676
Egypt,1916,1.487,1.713,1.221,1.061,0.18,0.28,30.802,26.821
Estonia,1916,0.061,0.863,0.853,0.248,0.124,0.17,24.754,59.437
Finland,1916,0.116,0.081,0.089,0.271,0.099,0.924,24.946,60.192
France,1916,1.478,109.689,1.327,2.65,0.205,1.469,2.349,48.865
Georgia,1916,0.017,0.29,0.64,0.001,0.544,7.611,44.783,41.717
Germany,1916,2.52,500.411,0.392,2.363,0.286,9.664,13.405,52.52
Greece,1916,0.706,0.066,0.917,2.104,4.051,4.559,21.824,39.074
Hungary,1916,0.423,11.816,0.299,3.017,0.018,1.275,19.04,47.498
Indonesia,1916,62.296,1.986,2.054,29.356,4.778,0.158,106.774,-6.121
Iran,1916,20.945,172.313,11.175,66.828,2.008,0.285,53.688,32.428
Ireland,1916,2.805,0.242,32.017,26.131,134.486,0.508,-8.244,53.413
Italy,1916,1.827,22.816,2.393,0.011,0.685,3.143,12.496,41.903
Japan,1916,1.25,57.29,0.904,0.029,1.279,7.819,138.253,36.205
Kazakhstan,1916,0.715,5.97,0.802,1.927,0.923,5.449,66.924,48.02
Kyrgyzstan,1916,0.583,0.47,1.221,10.752,0.165,1.878,74.766,41.204
Latvia,1916,0.327,0.207,0.136,0.036,0.299,0.929,25,57
Lithuania,1916,0.356,0.267,4.18,0.011,0.675,0.397,23.904,54.899
Malaysia,1916,0.087,0.271,0.172,0.145,0.278,0.039,112.5,2.5
Mexico,1916,0.111,0.568,3.223,0.295,16.616,0.174,-102,23
Moldova,1916,3.941,0.478,2.366,14.516,0.343,0.321,28.37,47.412
Montenegro,1916,0.174,0.053,0.056,1.287,1.131,0.507,19.3,42.5
Netherlands,1916,0.423,21.933,0.105,1.199,0.465,1.106,5.55,52.317
New Zealand,1916,0.076,5.038,0.434,28.55,1.34,0.858,173,-42
Nigeria,1916,0.022,0.066,1.132,2.056,1.745,0.61,10,8
North Korea,1916,1.998,0.479,11.714,26.936,0.112,0.511,127,40
North Macedonia,1916,1.093,0.393,4.085,10.958,0.871,0.44,21.7,41.6
Norway,1916,0.22,7.566,0.099,0.658,0.33,0.368,8,61
Oceania,1916,0.583,24.311,1.669,9.823,0.154,0.808,133.775,-25.274
Peru,1916,0.159,0.846,1.629,0.779,1.118,5.118,-76,-10
Philippines,1916,2.186,0.051,0.371,14.134,25.514,5.26,122,13
Poland,1916,4.277,106.029,2.737,2.005,2.748,5.408,20,52
Portugal,1916,3.189,2.902,3.964,28.659,0.088,3.778,-9.183,38.7
Romania,1916,1.035,0.238,1.343,14.587,2.759,1.352,25,46
Russia,1916,1.792,47.034,3.61,4.847,19.485,8.126,90,60
Serbia,1916,0.816,1.562,0.088,0.018,1.772,8.199,21,44
Slovakia,1916,0.205,14.503,0.031,2.193,0.005,2.354,19.5,48.667
Slovenia,1916,0.6,0.446,0.019,4.15,2.584,0.819,14.817,46.117
South Africa,1916,0.137,21.812,0.1,2.881,2.101,0.922,25,-30
South Korea,1916,3.125,0.027,0.078,8.064,39.697,1.529,128,36
Spain,1916,3.406,17.448,0.1,0.139,0.278,2.532,-4,40
Sweden,1916,0.173,15.26,0.066,0.038,0.498,1.174,16,63
Switzerland,1916,0.848,8.361,0.676,1.36,0.121,0.496,8.333,46.833
Taiwan,1916,0.458,1.385,1.701,2.535,9.488,0.49,121,24
Tajikistan,1916,1.917,0.165,0.591,9.312,0.14,0.848,71,39
Trinidad and Tobago,1916,0.274,10.175,1.583,0.117,0.414,2.115,-61.1,10.6
Tunisia,1916,0.253,0.011,1.336,31.831,4.386,2.425,9,34
Turkey,1916,1.505,0.513,0.276,9.797,9.467,2.758,35,39
Turkmenistan,1916,12.607,0.195,0.206,19.935,1.048,6.868,60,40
Ukraine,1916,0.242,16.558,2.902,2.053,3.499,7.971,32,49
United Kingdom,1916,4.164,501.66,1.118,83.773,5.412,3.152,-3,55
United States,1916,8.217,1345.443,17.431,36.834,133.981,6.834,-100,40
Uzbekistan,1916,0.19,1.761,25.727,0.033,1.578,27.588,63,42
Venezuela,1916,0.788,0.051,20.653,18.796,0.029,27.588,-65,7
Vietnam,1916,1.352,1.817,26.96,25.984,31.59,27.588,108,16
Zimbabwe,1916,0.716,1.183,0.572,1.249,2.77,27.588,30,-20
Argentina,1917,0.28,1.663,5.864,0.026,0.542,1.379,-58.382,-34.604
Armenia,1917,1.533,0.096,1.378,17.241,0.408,1.379,45.038,40.069
Australia,1917,0.358,20.76,0.327,1.397,2.139,1.379,151.21,-33.865
Austria,1917,1.276,3.451,13.872,36.931,20.505,3.346,14.55,47.516
Azerbaijan,1917,0.707,0.053,0.15,3.185,1.389,1.26,48.5,41.4
Belarus,1917,0.046,0.694,0.148,0.009,2.461,3.29,27.953,53.71
Belgium,1917,1.753,36.248,0.018,24.247,0.947,1.342,4.47,50.504
Bosnia and Herzegovina,1917,0.135,0.508,0.068,0.845,0.082,1.618,18.294,44.409
Brazil,1917,0.029,2.499,0.011,0.004,1.476,1.459,-46.625,-23.534
Bulgaria,1917,1.294,1.14,0.668,4.501,1.579,1.205,25.486,42.734
Canada,1917,0.922,79.835,1.208,1.451,3.957,2.718,-123.116,49.246
Chile,1917,0.063,4.027,2.336,30.975,0.618,1.663,-70.674,-33.447
China,1917,0.383,19.852,0.203,7.736,17.08,1.412,104.195,35.862
Croatia,1917,0.433,0.552,0.055,0.075,1.105,0.369,15.967,45.815
Czechia,1917,0.581,42.708,0.4,0.001,0.02,0.566,14.419,50.074
Denmark,1917,0.269,7.434,0.063,0.01,3.176,1.032,12.568,55.676
Egypt,1917,1.367,1.678,1.224,1.041,0.421,0.28,30.802,26.821
Estonia,1917,0.06,0.799,0.84,0.198,0.109,0.17,24.754,59.437
Finland,1917,0.118,0.044,0.089,0.282,0.077,0.927,24.946,60.192
France,1917,1.53,121.604,1.399,2.548,0.183,1.516,2.349,48.865
Georgia,1917,0.016,0.276,0.63,0.001,0.492,7.629,44.783,41.717
Germany,1917,2.628,524.3,0.405,2.232,0.278,9.681,13.405,52.52
Greece,1917,0.653,0.092,0.904,2.076,3.626,4.511,21.824,39.074
Hungary,1917,0.406,11.688,0.299,2.829,0.029,1.276,19.04,47.498
Indonesia,1917,57.509,2.184,2.082,23.513,4.954,0.159,106.774,-6.121
Iran,1917,20.074,164.83,11.187,65.13,2.799,0.286,53.688,32.428
Ireland,1917,2.667,0.256,31.572,25.696,130.314,0.509,-8.244,53.413
Italy,1917,1.802,15.381,2.415,0.011,0.729,3.166,12.496,41.903
Japan,1917,1.304,66.205,0.888,0.044,1.235,7.872,138.253,36.205
Kazakhstan,1917,0.658,5.531,0.806,1.542,0.813,5.414,66.924,48.02
Kyrgyzstan,1917,0.535,0.438,1.203,8.602,0.146,1.873,74.766,41.204
Latvia,1917,0.301,0.196,0.135,0.029,0.269,0.924,25,57
Lithuania,1917,0.328,0.255,4.109,0.009,0.612,0.398,23.904,54.899
Malaysia,1917,0.085,0.413,0.172,0.144,0.24,0.039,112.5,2.5
Mexico,1917,0.111,0.817,3.207,0.293,25.315,0.175,-102,23
Moldova,1917,3.613,0.449,2.325,11.613,0.307,0.322,28.37,47.412
Montenegro,1917,0.173,0.05,0.055,1.28,0.943,0.508,19.3,42.5
Netherlands,1917,0.399,8.336,0.104,1.162,0.319,1.107,5.55,52.317
New Zealand,1917,0.078,4.617,0.426,28.025,1.251,0.853,173,-42
Nigeria,1917,0.022,0.224,1.132,2.014,1.71,0.609,10,8
North Korea,1917,1.892,0.476,11.651,26.803,0.121,0.511,127,40
North Macedonia,1917,1.005,0.371,4.021,10.825,0.73,0.439,21.7,41.6
Norway,1917,0.212,3.316,0.101,0.668,0.18,0.368,8,61
Oceania,1917,0.575,25.377,1.639,9.61,0.144,0.833,133.775,-25.274
Peru,1917,0.148,0.938,1.629,0.779,1.066,5.119,-76,-10
Philippines,1917,2.007,0.011,0.391,13.946,24.796,5.261,122,13
Poland,1917,3.966,118.406,2.758,1.644,2.477,5.409,20,52
Portugal,1917,2.926,1.568,3.912,28.282,0.088,3.734,-9.183,38.7
Romania,1917,0.963,0.293,1.341,9.81,2.22,1.357,25,46
Russia,1917,1.691,43.917,3.79,3.883,17.303,8.526,90,60
Serbia,1917,0.759,1.476,0.088,0.017,1.484,8.185,21,44
Slovakia,1917,0.206,13.632,0.031,2.024,0.01,2.339,19.5,48.667
Slovenia,1917,0.556,0.421,0.019,3.831,2.163,0.812,14.817,46.117
South Africa,1917,0.14,23.34,0.1,2.889,2.185,0.927,25,-30
South Korea,1917,2.952,0.027,0.078,7.951,38.544,1.534,128,36
Spain,1917,3.186,15.535,0.101,0.095,0.22,2.537,-4,40
Sweden,1917,0.14,6.606,0.07,0.039,0.158,1.166,16,63
Switzerland,1917,0.804,6.024,0.667,1.325,0.084,0.493,8.333,46.833
Taiwan,1917,0.444,1.799,1.692,2.258,9.037,0.493,121,24
Tajikistan,1917,1.758,0.156,0.582,7.449,0.125,0.851,71,39
Trinidad and Tobago,1917,0.267,9.877,1.589,0.118,0.528,2.118,-61.1,10.6
Tunisia,1917,0.227,0.029,1.309,30.607,4.244,2.428,9,34
Turkey,1917,1.382,0.392,0.275,9.639,9.162,2.761,35,39
Turkmenistan,1917,11.559,0.187,0.208,15.949,0.957,6.872,60,40
Ukraine,1917,0.235,15.37,2.917,1.643,3.089,7.976,32,49
United Kingdom,1917,3.998,491.262,1.101,80.551,9.908,3.156,-3,55
United States,1917,8.318,1481.645,18.187,38.882,147.941,7.069,-100,40
Uzbekistan,1917,0.184,1.659,25.288,0.027,1.414,27.588,63,42
Venezuela,1917,0.747,0.051,20.864,17.688,0.029,27.588,-65,7
Vietnam,1917,1.246,1.737,26.589,25.584,30.671,27.588,108,16
Zimbabwe,1917,0.693,1.323,0.572,1.249,2.697,27.588,30,-20
